aircraft,type_of_traveller,seat_type,route,seat_comfort,staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,title,reviews,rating,date_dt
a380,couple leisure,business class,london heathrow to johannesburg,4,4,4,3,4,,4,yes,in-flight service good,"flew british airways from london heathrow to johannesburg. plane at t5 satellite c, so used b galleries lounge, which was quiet and pleasant. efficient boarding, seats 50j/k on upper deck, which provided good privacy despite proximity to toilets. mixed crew fas and ours were young and enthusiastic. in-flight service good, with a notable improvement in the quality of food, i.e., courses delivered individually to seats and main courses not cooked to a crisp. ife lagging behind that offered by competitors, with small screens and limited movies. breakfast included four hot options which were more palatable than usual. overall, a good flight, although we look forward to promised improvements in 2018.",8,2017-11-01
,solo leisure,economy class,london heathrow to brussels,4,1,3,1,5,3,3,no,will think twice before choosing again,"london heathrow to brussels. i had to travel for a surgery that had to be done in belgium. going there the staff at check-in in were amazing, as i had missed my plane she did everything possible for me to be on the next flight at a good price. however coming back to london the staff were quite rude and not acknowledging. i got on the plane and asked if i could have help to place my hand luggage into the locker as i could not carry anything nor lift my hand due to my operation. the first staff member at the entrance told me that i had to ask a member of staff closer to my seat, if no one could help then he will try to come. so that’s what i did, but the member of staff refused as she told me that she wasn’t allowed to carry a bag unless i help her and even after explaining the situation, she just ignored it and just left me alone with my suitcase. luckily another passenger heard me and carried my bag to the top and helped my get it down at the end. i work in retail and i know about customer service but very disappointed with my expirience coming back especially on the plane. i am very angry by this situation and next time i will think twice before choosing the company again.",3,2017-11-01
,solo leisure,premium economy,london to san francisco,1,1,1,3,3,3,1,no,"a functional, disinterested service""
","flew london to san francisco. british airways provided a functional, disinterested service on this ten hour flight. we were given what was necessary and certainly no more. ignored for five hours, not even a glass of water offered and it was made clear that the staff were happy to do the bare minimum and no more. if you have to go with british airways, do, but if you can avoid them then i would. in the interest of fairness i have informed the customer service team at british airways of my experience - so far i have been ignored hence writing this review.",3,2017-10-01
boeing 787,solo leisure,business class,london heathrow to seoul incheon,3,4,2,3,2,,3,no,ba is just too cheap on it's product,"london heathrow to seoul incheon. i was flying my return leg back to korea after a christmas vacation. i had not had a pleasant experience on my initial leg and unfortunately had no better experience on the return. to start with, i was unable to pre order my meal on line due to a technical fault. having not had my selection available on the outbound leg (in business class!) i wanted to ensure i had something for my return. i couldn't pre book and of course when offered the meal by the cabin crew they had again run out of 50% of the available selections. quite disgraceful. i was also unable to check in on line, so i was ""directed"" by staff to use the kiosk at the airport which also did not work. eventually i made it passed the staff and was allowed to queue for the business class check in. the rest of the airport process after that was smooth. this time i sat at the rear of the business class cabin in the window seat. this meant that i did not have to step over somebody else feet and legs if i wanted to get out of my chair in flight. of course i had to pay extra $'s for the seat selection in business class - a point which i have made before about being very unhappy about in a premium cabin. the flight was uneventful. on this occasion i had a very warm crew for which i appreciated. overall i still feel that ba is just too cheap on it's product and this is not an acceptable practice especially in a premium class. frankly, even though they were the cheaper ticket price by the time i had paid extra for the seat and not had my meal choices available i would have been better off flying another carrier.",6,2017-01-01
boeing 787,solo leisure,business class,seoul incheon to london heathrow,3,3,3,3,4,,3,no,ba is way behind other carriers,"seoul incheon to london heathrow. this was my first flight on ba for many years. as a brit, i was actually looking forward to flying them in order to return home for christmas on board the relatively new b787. i was disappointed. the fare i paid on this occasion was relatively good value for a j class cabin - in my view. however, it was extremely disappointing to see that you have to pay to select your seat in j class. i do not know of and have not ever flown another airline which charges you for this and i certainly do not appreciate it. i was seated in row 1 by the window. my first experience in this cabin was a shock when i realised i was looking straight into the face of the passenger sitting next to me. and further that i had to step over the legs of the passenger in row 2 to get into and out from my seat. the tray table did not sit straight when pulled out for service. even in row 1, by the time the cabin crew came to take my meal order they were already telling me that two of the available options had already run out. this left me taking a korean option on a flight on ba where the majority of the passengers seemed to be non-korean. clearly something wrong with the meal ratios. they offer a serve yourself snack bar in flight. i went to the galley at one point and there was very little available to take food wise - it was mostly just drinks. it also seemed to be a fixed meal time - something else i do not appreciate in business class these days when dine on demand is a far better option for passengers. the ife selection was nothing more than average. i found the overall selection somewhat limited compared to other carriers. the service and product simply left me feeling that ba is way behind other carriers and i concluded that i would not make a point of flying with them again on a long haul route in a premium cabin.",6,2016-12-01
boeing 747,business,economy class,cape town to london,1,1,1,1,3,,3,no,it was the most uncomfortable flight,"flew cape town to london with british airways. it’s hard to think of a good thing about this flight. on the outward journey i was in an aisle seat. next to me was somebody who was too large to comfortably be able to occupy a middle seat. the crew could have helped the poor person out by offering an aisle but they made no attempt. so three people suffered cramped conditions for 11 hours. the food is awful, poor quality and with poor selection of wines - cheap spanish wine with no choice, the cabin was over heated. it was the most uncomfortable flight i have ever taken. until my return flight - entertainment system was not working - ancient plane same miserable food. this airline used to be good, now it is awful.",2,2017-11-01
,solo leisure,business class,london heathrow to bahrain,2,3,3,1,1,,3,no,cost cutting was in evidence,"london to bahrain club world and they certainly like to pack folk into a business class cabin in a 2-4-2 configuration which is out of date and hardly worthy of business class cabin compared to the likes of qatar, emirates, etihad which are far more superior. the plane was old along with a tired cabin and dirty unkempt bathroom basins that had permanent staining which need replacing. on this flight good choice of foods with attentive staff. cost cutting was in evidence in the amenity bag you get, the presentation of food trays and the personnel service had gone. it's more akin to economy, also a real negative point is your at heathrows newest terminal & guess what you are transported to your aircraft by buses! a shining example of what is supposed to be a modern airport. this flight is definitely not 5 star and a 3 star rating is where this airline should sit. plane was delayed 45 mins & arrived 25 mins late so not exactly a good timekeeping record either. ife was poor with old films that they call new releases, no where near on a par with qatar airways.",5,2017-11-01
boeing 747,family leisure,business class,london to philadelphia,4,5,2,4,4,,4,yes,crew amazingly helpful,"london to philadelphia. ticket booked was an amex companion ticket so effectively family of 4 travelled for £2.5k in business class return so very good value. positives - b747 on both journeys was refurbished so very clean and great ife. cabin quiet and crew amazingly helpful. t5 lounge fine, flight on time. bags off very quickly. negatives - food on on both legs wasn't great. salad poor and main beef meal very average. pudding which is normally the show stopper - not great. in previous years food been excellent. return journey just the same - except for the crew this time being outstandingly helpful. we were travelling with a baby and a toddler and the crew couldn't do enough to help. the real test of the crew was on landing at lhr, we were walking up the jetty and my 3 year old daughter was sick all over me. we were stood on the jetty trying to sort the situation and all the crew after a long flight came to help us. they were amazing. they didn't have to as they were done for the day. ba are getting so much stick at the moment - their hard product is fine if you are redeeming a companion ticket but not if you are paying in excess of £15k. the crew lift this product to a much higher level.",8,2017-10-01
boeing 767,business,business class,london to edinburgh,1,3,3,,3,,1,no,extra cost not justified,"british airways short haul business class is nothing more than an economy class seat and maximum 31 inch pitch, with lounge access and a meal thrown in. so is it worth paying three times the cost of an economy ticket? ba recently introduced business class on domestic routes and as i got a decent price for booking well in advance, decided to try it out. checking in was efficient, and the galleries club lounge adequate (no comparison whatsoever with asian or middle eastern airline lounges). priority boarding although announced, did not make any difference as economy and business class passengers were in the same queue and confused. having maneuvered into the cramped seat, i was offered a hot towel as soon as i sat down. i couldn't decide whether to be amused or embarrassed by the new celebrity cast safety video. it was more spot the stars, than listen to the safety instructions. but i guess it was something different ba was trying out. the service on board was surprisingly efficient and swift. soon after take off, a tasty snack and bar service with premium brands was offered on this one hour flight. the service was good, considering a one hour flight. despite a boeing 767, 2x2x2 layout, the cabin felt claustrophobic. to me, this was no different than economy seating, with virtually no leg room. how can this be branded as business class? is the extra cost justified to fly club europe? absolutely not.",2,2017-11-01
,family leisure,economy class,oakland to gatwick,1,1,1,,1,,1,no,requested asian vegetarian food,"i requested asian vegetarian food both ways including my return flight from oakland to gatwick on the 6th november, but i was very disappointed that my requirement was not fulfilled.  i was told that on my connection flight i have to pick up my luggage and then check it again at phoenix airport for connection flight which i never heard before as normally all the airlines do the checking luggage transfer themselves and passengers just have to do security checks and board the flight. when i reached phoenix first security took long time to clear then luggage took time to come then i had to go on the different level to check in, then down to go through security again to board my flight. on my return flight from oakland to gatwick when i went to the check in luggage i was told by the staff at the desk that tsa will break my lock to check through my luggage, so please keep it unlocked.  i requested asian vegetarian food but when i got my special meal it was cholesterol fat free diet. when i mentioned this to the staff who gave me this food she said that’s what you asked for but i said sorry i didn’t as on the food label clearly says 18a and my seat no is 18k so how is this my food. she still didn’t believe me instead of apology she said i have to get back on this matter to provide you food as we might not have spare food to offer you. after 15 mins of wait once she serving all the passengers she came to me and told me that if you want i can offer you full english breakfast i said but i am vegetarian she said i don’t have any other option.",1,2017-10-01
a321,business,economy class,düsseldorf to london ,3,4,2,3,2,,1,no,continually disappointed by british airways,"am continually disappointed by british airways. it seems they are now in a race with ryanair and easyjet to become the worst carrier in and out of the uk. flew düsseldorf to london. their lounge at dus is closed but their check-in staff doesn't know that (she sent me up there). i have a connexion at jfk and i showed her the boarding passes but she wouldn't interline my bag to their partner aa and i had to recheck it. now, not only do they not serve a second meal on the 11-hour flight lhr-lax, but now they want £2 for a can of coca cola that they pay 15p for. usually, you should always fly across the ocean on a european carrier, but with boac i recommend finnair or american with their one world alliance. what is the point?",2,2017-08-01
boeing 787-9,couple leisure,business class,london to santiago,3,4,3,3,4,,3,yes,need to clean the planes more often,"london to santiago. cabin crew generally helpful and friendly. cabin a bit grubby; crumbs, nuts and grime in evidence. on the flight home as i took my seat i saw a bit of the wrapper of the ear plugs they give out which seemed to have been left over from the previous flight - evidence that whoever wields the vacuum cleaner before the passengers board needs to be a bit more thorough. the alcoholic drinks were all pleasant. the food was of variable quality (as was the coffee) none bad, some a bit mediocre, some good. many have commented on the somewhat odd seat arrangement and i found it a bit of a palaver to have to carefully step over another, sleeping, passenger's legs trying not to wake them up. the other problem with that configuration is the video screen has to be stowed at take off and landing which means you can't watch it, as you can in economy when the screen is on the back of the seat in front of you. on both flights i found that my screen seemed to be broken and would not lock in position so that i would have to look at it at an angle. i solved the problem by stuffing a rolled up magazine in the hinge bit, but then i had to take it out every time i got out of my seat. another problem with the configuration is that the storage space is minimal; apart from the overhead lockers there is only a small drawer. and that adds to the litter problem. after you have taken off the polythene wrappers for your headphones and blanket or the paper ring around your napkin, what do you do with it? er, drop it on the floor? i did manage to sleep quite well, though the pillow you are provided with is very thin. on the flight back they gave me another one when i asked. another small problem is that there is no individual air conditioning vent for your seat and if you take off your jacket, sweater or whatever, the lack of storage space means it has to go in the overhead locker if you have already filled up the little drawer. and i don't want to seem a bit picky, but although the in-flight entertainment has a good choice of films, the menu system for seeing what they are is a bit irritating; they are all divided into categories such as ""comedy"", ""thrillers"" etc but no a-z. all in all, it wasn't an unpleasant experience but i would advise ba, if they were interested in my advice, that they need to clean the planes more often and more thoroughly and re-think the seat configuration.",6,2017-11-01
boeing 747-400,business,business class,london to new york jfk,2,3,2,3,3,1,1,no,complete rip-off sums it up,"london to new york jfk in club world. after reading very mixed reviews here, i also saw that ba were upgrading standards on flights to nyc in particular and was looking forward to my flight. should not have been so optimistic, as this is still a business class that belongs in the 1980's. aircraft was tatty to be polite about it, worn carpets, seat with various malfunctioning or broken items, washrooms grimy from the word go. staff tried hard to offer a modicum of good service, but the so called food improvements were really not much better than other premium economy cabins i have flown when i have to pay for the ticket. ba talk a lot about their premium standards, but even when you pay to-dollar for business class the standards are well below even their us counterparts. complete rip-off sums it up.",3,2017-11-01
,couple leisure,business class,johannesburg to victoria falls,1,3,3,1,1,,1,no,exactly the same width and pitch,"my wife and i booked two round trip business class air tickets from johannesburg to victoria falls with british airways / comair. it turned out that our business class seats were not any different from the seats in the economy class: they had exactly the same width and pitch! actually, british airways simply separated several seats in the front from the rest of the aircraft cabin with a curtain, and called this a business class! moreover, our pre-flight accommodations were not any better than those of the economy class passengers because british airways does not even have a lodge for business class passengers in victoria falls. yes, during the flight we were served sparkling wine and snacks, but does this difference substantiate my paying for two round trip tickets $1,372 rather than $703, which would have been the cost of the economy class tickets?",1,2017-10-01
boeing 777-200,couple leisure,business class,london to mumbai,3,4,2,1,5,1,1,no,disappointed with the return flight,"london to mumbai. the electrics at my seat were not working. this may have been related but the remote control that was completely broken with loose  wires etc. - the call button light kept coming on and off on its own. it was impossible for me to control this and at the time that i did actually want to contact the flight attendant, i had to use my husband's remote control to do so. - because the connection was loose on my remote, it meant that things were changing on my tv screen without me being able to control it e.g. i would press play on the screen, then the program would pause or start rewinding without me doing anything. because my remote controller was broken, it would not return properly into the socket and kept 'pinging' back out. this was  annoying when you are trying to relax in your seat. the tv screen was  faulty. the usual 'push and release' button did not work, i had to push the button and then just try to 'pull' the screen, it was very tough. even the cabin crew could not release it properly. my footrest was very stiff and hard to manoeuvre on my own - my husband had to help every time i wanted to move this. my husbands footrest was  broken - the charging socket at my seat did not work, so i could not charge my phone or laptop for the entire flight. my husbands charging socket also did not work. the flight attendant told me that this was an issue on some of the other seats in our row. this is not related to my seat however the storage unit above my seat/row kept opening throughout the flight. the attendant would shut it and then it would  open, this happened during take off and landing, as well as throughout the flight.  for this level of airline and club world seat, it is not acceptable that you should have to rely on your personal equipment.  this return flight was the first time that i have flown business class. we have spent tens of thousands of pounds on our american express card to earn the points required and to generate the companion voucher, for us to be able to fly business class for our honeymoon. whilst the outbound flight was great, i was very disappointed with the return flight and shocked by the poor quality of the seat. the hostess tried to reset my screen which made no difference and in fact, the situation got worse. once i had tried to turn on the screen and once it the hostess had attempted a re-set; after that, the screen just kept flicking on and off for the remaining 3.5 hrs of the flight. as you can imagine, it is very annoying to have a screen flick on and off with no way of controlling it. it was impossible to turn the screen off completely.",1,2017-10-01
,family leisure,business class,london to johannesburg,2,2,,,1,,1,no,they were refused boarding,"i travelled to johannesburg from london heathrow on sunday 22nd october on flight ba55 and my husband was meant to travel with my two daughters on the same flight on 23rd october. they were refused boarding on the grounds that children cannot travel with a single parent to south africa. there was no such requirement on booking the tickets via ba's website and there was no notification of this by the airline at any stage. the requirement is not even on the front page of the embassy's website but well hidden under drop down menus. usually when there are requirements like for esta for entry into us, ba sends a prompt. however, there was nothing in this case. ba had on its system that i (the other parent) had travelled ba already reach johannesburg a day before. the ba counter staff at the airport refused to help my husband, who was travelling with a 4 and 7 year old with any alternative. instead they directed to use the website to cancel tickets. after being given the wrong email address first, when finally managed to get in touch with customer relations, they refused to refund the ticket cost, only refunded taxes 25% of total. the overall service and the way it was dealt was extremely stressful at the airport and off-putting. they said they would use the complain to improve their processes but will not refund in excess of gbp 2k in tickets as they were cancelled prior to the flights upon refused boarding even the return flights and not within 24hrs of booking. other airlines offer alternatives but here the attitude was extremely dismissive, even though both my husband and i are frequent travellers and have silver cards of their executive program. i will avoid travelling ba even for work after this event. have received better treatment from low cost airlines in the past.",1,2017-10-01
,business,economy class,heathrow to lyon,1,1,1,1,1,1,1,no,the worst customer service,"heathrow to lyon. the worst customer service i have ever experienced! i arrived at the airport a good 2 hours before the flight only to be told that the flight is overbooked and that i could not check in. after a long wait to ascertain if anyone will not be turning up, i was told i can go on a different flight - the problem being that the only available flight was the one going out the following morning. so i missed a whole day's business meeting and was forced to do the round trip home and back to the airport in a matter of one day. when i queried the fact that i was unable to board i was told that overselling the flight was normal - ""all airlines do it"". the fact that all of them do it of course is not a justification nor explanation. i was casually advised to read the small print in the future. on the way back from my destination, in order to avoid the same thing happening, i decided to check in online 24 hours before. however, i was again denied a check in and was put on a stand by. apparently, the return flight is overbooked again! i do not understand how it is possible that the product/service that i have purchased, i can not use. how can it be legal that the company has no responsibility to honour their contractual obligation to provide me the service that i have duly purchased a good 4 months in advance!!!! the disregard for its customers and the sheer arrogance of this huge, inept company is beyond pale! on top of that, the company's decision to no longer serve coffee/tea and food on board is unacceptable. the ba has made a foolish decision to behave like a budget airline but still keep charging premium prices. i certainly will never travel the ba ever again!",1,2017-11-01
,couple leisure,economy class,london to new york,1,1,1,4,1,,1,no,absolutely appalling service,"absolutely appalling service from ba! i booked seats with extra leg room with a ba representative to ensure i was getting the seats we needed. on arrival at the aircraft we did not have those seats, our return flight was the same. so i applied for a refund, after a lot of back and forth with ba they started paying it back, in drips and drabs, not the full amount - so far i have received half of the amount owed! i traveled 6 months ago - i have called a dozen times, emailed and filled out forms and the last i heard was that someone would contact me and would sort this matter out - no one has called back in 2 months now. when i call they say “you can’t chase anymore, you have to await for someone to call you” ba you are a disgrace, i have been patient and you have done nothing! worst airline i have ever had to deal with!",1,2017-11-01
,solo leisure,economy class,kingston to london gatwick,1,1,1,1,2,,1,no,i had a horrid experience,"kingston to london gatwick. it was my first time flying with british airways and to be very honest, it is my last time ever flying with them. i had a horrid experience going to my destination as well as coming back from my destination.",1,2017-11-01
a320,couple leisure,economy class,heathrow to barcelona,2,2,,,3,,2,no,well below standards of competition,"heathrow to barcelona. reliable. no longer feels like travelling with a premium airline. very functional, but unfortunately at a cost. flight took off late, because luggage for a passenger needed to be off loaded, however arrived on time in barcelona. excellent information from the flight deck. cabin crew robotic and lacked personality. enough has already been said about charges for food and drink. overall falling well below the standards of the competition. great pity really.",5,2017-11-01
,business,business class,singapore to london,1,3,1,2,2,,1,no,just getting worse and worse,"singapore to london. my feedback seems to mirror many other users here - ba standards are just getting worse and worse, and i am talking about business class which i thought they would maintain? the cabin interior was worn and quite grubby, the seats terrible and now must be one of the poorest for long haul business class. the meal and presentation is really a joke, and on my previous long haul biz trip i got better food in lufthansa premium economy. cabin staff were quite friendly although they do hide in the galley a lot. chatted to one of them who said so many customers are complaining and even deserting ba because of the fall in standards - i'm not surprised and i for one would not use them again for long haul. time for senior management changes, as the present ceo clearly has no clue how to run what was once a premium airline. now, they do little more than a low-cost and easyjet for one is far superior and nicer for short hops in europe.",2,2017-10-01
,couple leisure,business class,london to rome,2,5,5,,4,,3,yes,a better ba experience,"british airways appear to be taking positive steps to lift their game. the service on this flight was flight was materially better than that previously experienced. the quality of the food served had lifted materially. the staff were helpful. the big downside is that club europe sets remains stock standard economy seats - with the middle seat blocked off. the pitch is tight - too tight in my view. another couple of centimetres would be welcome. overall, a better ba experience.",8,2017-10-01
,solo leisure,premium economy,heathrow to dubai,1,1,1,1,1,1,1,no,ashamed this is my national airline,"heathrow to dubai. this is a warning of what to expect from british airways . if they continue to treat passengers this way i can see the airline very quickly getting into difficulty. the reply i got from the airline below just brushed all the issues i raised under the carpet. living in egypt for 10 years i became i frequent flyer with egyptair. if i wanted to change the date of travel with them they only charged me £60. ba want to charge me over £500 and because i wanted to cancel my flight and go with a better airline they were only prepared to give me a £9.50 refund even though i would have given them over 2 months notice. this airline is on my black list, makes me ashamed to think this is my national airline, but never again will i book another flight with ba. there was no priority seat booking unless i paid another £38 extra. there was no priority boarding. i booked seat 23d but this was mysteriously changed at check in to 24e. ba emailed me to confirm a change in the booking but did not say what that change was. i did not make any changes. in premium economy i was wedged in like a sardine in a seat that is only 1"" wider than economy with a few inches extra leg room. is this some kind of joke? i had to double check that i wasn't in economy as there is only one seat difference in a row. the tough chicken meal was diabolical. the cabin light over the bulkhead luggage bins was jammed on and would not go out so no sleep whatsoever. i really do not see the necessity for this light anyhow as the non smoking lights and tv screen light give emit sufficient light anyway. i ended up paying £300 extra for nothing and am extremely disappointed with this flight. a few days previously i flew premium economy with virgin atlantic return from barbados and the difference between ba and virgin is worlds apart.",2,2017-09-01
boeing 777,solo leisure,economy class,tokyo haneda to heathrow,1,2,1,1,2,1,3,no,one of the worst flights,"flew british airways from tokyo haneda to london heathrow. this is one of the worst flights i have ever had. the seats were so weak that i felt every movement of the passangers around me, especially the guy in front. really old entertainment system and my friend next to me was missing the audio outlet! food was also horrible.",3,2017-10-01
boeing 787-8,business,business class,london to toronto,2,2,1,1,1,3,2,no,today just another 2 star airline,"london to toronto. by now it is nothing new anymore that the ceos very aggressive cost cutting, affected all classes including first & business which called “club world” does not deserve it name, because it is simply appalling! again it is on the cost of the customer and eventually on the aircrews who have to work harder, because there are smaller teams.  it is not surprising that ba current ranking bounced back to 40th from 26th (in 2016). fact is that this airlines which prefers rather to invest its money in flashy nonsense commercial rather than in its products does clearly not deserve to be recommended. once a grand airline, today just another 2 star airline like there are so many.",3,2017-10-01
boeing 747-400,business,first class,new york jfk to london,3,4,3,4,3,1,2,no,ba is now grossly overpriced,"new york to london heathrow.  first class check in at t7 in jfk was quick, polite staff provide better service than those at heathrow. the concorde room is just a few metres after security.  it is nice enough with a good range of seating and dining booths, but washroom / shower facilities are downmarket. selected a couple of a la carte menu choices and these were nicely presented and tasty. boarding was reasonably efficient,  and staff onboard offered usual boarding drinks, pyjamas etc. delay of about 30 mins on departure was made up during the flight. i opted to sleep straight after take off,  seat comfort is okay if a little narrow.  90 minutes before arrival i had some fruits and pastry for breakfast,  accompanied by some good coffee. while i only needed minimal service onboard,  the staff were courteous and efficient,  and they are one of very few good things left after ba after their ceo seems to have decided to alienate loyal customers of 40 years!  arrival into t5 at heathrow,  b satellite at 0515 was absolute bedlam, and a reason i would choose another airline on this route. we wanted for 4 satellite trains to pass by totally full before we could even get to the main terminal -  to find immigration in total,  disorganised chaos. i buy and pay for my own tickets,  and do feel that ba is now grossly overpriced forge standards they provide. please get a ceo that values quality over bean-counting.",5,2017-10-01
,couple leisure,economy class,gatwick to marrakech,1,1,,,3,,1,no,i will not use ba again,"gatwick to marrakech, the cabin crew was lazy and rude, refusing to sell a pack of sweets which would have not taken more than 30 seconds . for the duration of half of the flight they sat in the back having a break during which all service stopped. half way through the flight we ordered some sweets from the food menu. the lady that passed said that they will come back once they had finished serving some other customers. after 30 minutes we pressed the bell for assistance and one of the staff came to rudely explain that they hadn’t finished serving other customers even though none of the 3 staff members was seen serving anyone. we waited 20 minutes before pressing the bell again which was ignored. after another 10 minutes my partner went to the back of the cabin to order the pack of sweets but the cabin crew explained that they are having a break now and that they stopped serving. we tried for over 1 hour to buy some jaffa cakes which would have taken less than 30 seconds but it was too much to ask for. ryanair or easyjet service is luxury compared to the service of this cabin crew. i will not use ba again if i can avoid it and cannot recommend this airline .",1,2017-10-01
a380,solo leisure,economy class,los angeles to london heathrow,4,4,4,4,4,,4,yes,on-board experience was good,"this was my first time flying with british airways from los angeles to london heathrow. i was able to secure a window seat for myself (without paying any fee) during online check-in 24 hours prior to departure. the baggage drop-off experience at lax and lhr was smooth. at lax, the ba staff tags your check-in bags, at lhr, you have to do it yourself. the on-board experience was good. this was my first time sitting on the upper-deck of a380 (which had a special storage bin by the window armrest). food options were consistent with what you find on most transatlantic flights (chicken or pasta). there was no wifi, but ba had a good collection of movies. i enjoyed ba's in-flight ""movie snack"" as well. the ""flight map / tracker"" wasn't working on one segment, which was a bit surprising. overall, i had a pleasant experience and would consider flying with ba again.",8,2017-07-01
a320,solo leisure,economy class,gatwick to cagliari,4,4,2,,4,,3,yes,pleasant and well organised,gatwick to cagliari proved to be a rather pleasant and well organised affair. the website was easy to use and very clear. i checked-in online and simply had to drop off my bag. i arrived very early for the flight and noted that there was quite a queue already. the boarding process was quick and efficient and the interior of the aircraft was clean. my seat was comfortable for a short flight. the captain made clear and informative announcements and the two crew i could see worked very hard and were pleasant. the crew made use of italian and were cheerful and professional. my gripe is the awful use of marks and spencer food. this has to be purchased and a good few items were not available. there were no route maps and no entertainment systems. the lavatory was clean. disembarkation was managed well.,7,2017-10-01
,couple leisure,business class,shanghai to tampa via heathrow/gatwick,1,4,2,2,1,,1,no,deplorable customer service,"shanghai to tampa via heathrow/gatwick. we received deplorable customer service recently from british airways. i purchased business class tickets on 11/28/2016 for flights on september 30, 2017. i purchased two tickets for a total of $9,676.26 plus an additional $652 for seat assignments. the problems occurred on our return flights. we were booked october 17, 2017 on ba168 shanghai to lhr  london with continuing service, october 18, 2017 from london gatwick)to tampa. we were disembarking a cruise ship at the port of shanghai on october 17, 2017. we checked in online 24 hours before our flights scheduled departure at 11:00 a.m. on the evening of october 16, 2017 the captain announced that the ship would not dock at the port as scheduled at 7:00 a.m. in the morning on october 17, the captain announced that the chinese had shut down the port and were not allowing any ships to dock. after these announcements we frantically tried to contact british airways because we expected that we would miss our 11:00 am flight. we were unable to do so. we were informed that in order to exit china without a visa, we needed to have proof of our flights leaving the country. we were aware of this requirement. we had not applied for a visa because we were only transiting from the ship to the airplane. we knew that without a visa of valid flights out, we would be escorted to the local chinese police station until we could arrange flights out of the country. for obvious reasons we did not want to experience that situation. we were able to contact a travel agent via e-mail (our phone was not operating as we were at sea in chin ). our agent was able to contact british airways and explain our situation. there was another flight that departed on october 18, which was 13 hours 40 minutes after our original flight. that was flt ba 160. we were told here are your choices: 1. pay a change fee of $884 and be down graded to premium economy on both flights, ba 160 and ba 2167 , even though we would be able to make ba 2167 as it did not depart london (lgw) until 11:55 am on october 18, 2017. 2. pay an additional $6,388 per person for a total of $12,776 to keep our business class status on both flights. (we had already paid $10,328.26 for these tickets). 3. disembark the ship and take our chances with chinese immigration. option 2 was outrageous, option 3 frightening. we felt we had no choice but to choose option 1. the travel agent advised us to explain what had happened when we arrived at the airport at check-in and request our business class seats if they were available. when we checked in at pvg we asked if there were business class seats available. “yes, several” was the response. we explained what had happened and asked as a courtesy if we could have those vacant seats. “yes, for a cost of $12,776 “. of course we refused to pay that amount. we were then charged additional baggage fees because as we had expected to be flying business class, two suitcases were over the 50 lbs limit for economy. while on board during that flight ba160, i went into the business class cabin and saw that there were indeed vacant seats. when we arrived in london we again asked to be seated in our originally purchased seats. were we on the same flight as originally scheduled, but i was informed that our business class seats had already been assigned to other flyers. apparently british airways sold our seats or an upgrade to other passengers at our expense.",1,2017-10-01
a320,couple leisure,economy class,gatwick to marrakech,3,1,1,,4,,4,no,gripe is about the current food service,"gatwick to marrakech. generally a well organised flight and fairly full in y class. my gripe is about the current food service. this was a fairly long short-haul flight scheduled for 3h 45m in which a reasonable meal service would be welcome and desirable. after a lot of comments from others who have flown ba recently we bought food in the terminal before departure as the coho-ice on board is very limited, especially as much seems to be already 'sold out'. the biggest issue is about the time taken to do the food selling. it took almost all of the flight time for the crew to work through the plane to serve every row even though i observed that about 60% of passengers bought nothing. of course this led to problems for those wishing to go to the toilets at the rear when food service starts at the front, any passengers from front to middle have no access to aft toilets after the trolley has passed. passengers resorted to using the forward toilets passing through business class which i assume was not welcomed by those passengers. i overheard a crew member saying that they were not going to duty free sales as they were out of time. it is ridiculous that this paid and limited service takes so long. i remember the days when a british midland crew could serve a full cooked breakfast with tea or coffee to all 100 or so pax on a lhr to middlesbrough flight scheduled for 40 minutes or an aer lingus crew serving hot breakfast to all on a turbulent flight of 1 hr from dublin to london. if ba want to differentiate themselves from low cost carriers then this is not the way to do it.",3,2017-10-01
,solo leisure,business class,oakland to heathrow,4,4,3,2,4,,4,yes,this flight was fine,"oakland to heathrow and this flight was fine. the worst that could be said is that there is no magic, that other airlines manage to provide. left and arrived on time. fa attentive and professional. food reasonable and alcohol served in generous proportions. my only real complaint was the inflight entertainment was rather poor with lots of old films and tv programmes and a mediocre choice of music.",7,2017-10-01
